FractureHeight[m],Time[s],Velocity[m/s]
4.48275862,0.34038425,0
4.48275862,0.36794031,0.09036677
4.48275862,0.39770086,0.19820223
4.48275862,0.42984225,0.33299201
4.48275862,0.46455496,0.02927019
4.48275862,0.50204468,0.66216675
4.48275862,0.54253357,0.83478264
5.22988506,0.58626158,2.49374425
5.22988506,0.63348783,-0.06129443
5.97701149,0.68449219,3.69944189
5.97701149,0.73957688,1.68448311
5.97701149,0.79906836,1.74237356
5.97701149,0.86331915,1.62539905
5.97701149,0.93271001,1.61344515
5.97701149,1.00765213,1.53034314
5.97701149,1.08858962,1.18159587
6.72413793,1.17600212,2.05191112
7.47126437,1.27040761,1.2756646
7.47126437,1.37236554,1.46075458
7.47126437,1.48248011,1.45816353
7.47126437,1.60140384,1.30302909
8.2183908,1.72984147,1.25051978
8.2183908,1.86855412,1.20013544
8.96551724,2.01836377,1.10891576
8.96551724,2.18015819,1.13560513
8.96551724,2.35489617,1.0600734
9.71264368,2.54361319,1.02878451
9.71264368,2.74742757,0.97653634
9.71264368,2.9675471,0.96492211
10.45977011,3.20527619,0.90009643
11.20689655,3.46202361,0.79622998
11.20689655,3.73931082,0.94365109
11.20689655,4.03878101,0.89674464
11.95402299,4.36220881,0.81917541
12.70114943,4.71151084,0.81960653
12.70114943,5.08875703,0.77003289
13.44827586,5.49618292,0.70817385
13.44827586,5.93620288,0.72898215
14.1954023,6.36390227,0.69905931
14.94252874,6.87333978,0.70792604
15.68965517,7.42353229,0.67649506
15.68965517,8.01774019,0.63936596
16.43678161,8.65948473,0.6277806
17.18390805,9.35256883,0.59903563
17.93103448,10.10109966,0.59432465
17.93103448,10.90951296,0.59070207
18.67816092,11.78259932,0.57691858
19.42528736,12.72553259,0.57169703
19.42528736,13.64206373,0.57492254
20.91954023,14.67574335,5.34E-01
21.66666667,15.78760086,5.50E-01
22.4137931,16.86882177,5.49E-01
23.16091954,17.95110587,5.44E-01
23.16091954,19.04316832,5.28E-01
23.90804598,20.16925127,0.52459492
24.65517241,21.30209815,0.5333042
25.40229885,22.41644472,0.53852232
25.40229885,23.51999362,0.53253691
26.14942529,24.63594578,0.51847096
26.89655172,25.78217337,0.51739883
27.64367816,26.93077611,0.5292312
28.3908046,28.05369878,0.53415335
29.13793103,29.16627388,0.51086129
29.88505747,30.32957541,0.51397386
30.63218391,31.4858321,0.51718444
31.37931034,32.63491098,0.52604497
31.37931034,33.76463513,0.52176581
32.12643678,34.9036245,0.50523546
32.87356322,36.07987945,0.51273663
33.62068966,37.23892618,0.51991994
34.36781609,38.38195932,0.52659389
34.36781609,39.51050587,0.50283512
35.11494253,40.69237581,0.50280571
35.86206897,41.87431487,0.51132915
36.6091954,43.03655198,0.51984616
36.6091954,44.17974733,0.51516202
37.35632184,45.33333725,0.50820058
38.10344828,46.5027293,0.51083004
38.85057471,47.66610198,0.51974193
39.59770115,48.80952659,0.52608899
39.59770115,49.93915622,0.50054789
40.34482759,51.12642666,0.5012858
41.09195402,52.3119494,0.51083455
41.83908046,53.47531181,0.52465771
41.83908046,54.60802309,0.52676417
42.5862069,55.73620483,0.50456751
43.33333333,56.91401693,0.50437639
44.08045977,58.09227532,0.51515295
44.82758621,59.24588556,0.52372665
44.82758621,60.38061053,0.51775943
45.57471264,61.5284133,0.51054301
46.32183908,62.69244004,0.51384791
47.06896552,63.84898015,0.52162306
47.06896552,64.98828122,0.52575515
47.81609195,66.11862814,0.50236706
48.56321839,67.30159924,0.50384019
49.31034483,68.48111157,0.51275411
50.05747126,69.64011879,0.52415083
50.05747126,70.77392548,0.51916028
50.8045977,71.91863114,0.50957673
51.55172414,73.08486515,0.51379236
52.29885057,74.2415303,0.52071425
52.29885057,75.38281982,0.52604946
53.04597701,76.51253434,0.49789961
53.79310345,77.70611976,0.50321122
54.54022989,78.88710638,0.51348007
55.28735632,80.04447497,0.52448278
55.28735632,81.17756405,0.51729386
56.03448276,82.32639986,0.51056858
56.7816092,83.49036832,0.51460241
57.52873563,84.64521272,0.52138939
58.27586207,85.78502439,0.52696612
58.27586207,86.91277378,0.50289232
59.02298851,88.09450929,0.5055488
59.77011494,89.27003521,0.51473883
60.51724138,90.42457354,0.52796415
60.51724138,91.5501911,0.52397962
61.26436782,92.68436826,0.50555544
62.01149425,93.85987873,0.51099291
62.75862069,95.02288061,0.51993708
63.50574713,96.16587606,0.52787532
63.50574713,97.29168303,0.50622797
64.25287356,98.46563183,0.5114997
65,99.62748142,0.51687054
65.74712644,100.7772581,0.5270914
65.74712644,101.9047395,0.52872027
66.49425287,103.0287473,0.50571791
67.24137931,104.2038801,0.50705673
67.98850575,105.3759102,0.51503021
68.73563218,106.5297953,0.52526949
68.73563218,107.6611873,0.52043478
69.48275862,108.8030897,0.51205359
70.22988506,109.9636825,0.51784363
70.97701149,111.1112987,0.52397232
70.97701149,112.2454916,0.5283584
71.72413793,113.3702693,0.50661547
72.47126437,114.5433201,0.50756591
73.2183908,115.7141744,0.51528757
73.96551724,116.8674833,0.52615929
73.96551724,117.996962,0.52027612
74.71264368,119.1392126,0.51490052
75.45977011,120.2933884,0.51913343
