FractureHeight[m],Time[s],Velocity[m/s]
4.8,0.163808552,0
4.8,0.176747487,1.50287152
4.8,0.190721536,1.00548146
4.8,0.20581351,0.737867068
4.8,0.222112842,0.556740711
4.8,0.23971612,0.425662265
4.8,0.25872766,0.332209667
4.8,0.279260124,0.287849054
4.8,0.301435185,0.269126871
4.8,0.32538425,0.262942008
4.8,0.351249241,0.269757764
4.8,0.379183431,0.296622057
4.8,0.409352357,0.343760391
4.8,0.441934796,0.416163821
4.8,0.47712383,0.512390073
4.8,0.515127988,0.624485902
4.8,0.556172477,0.814379409
4.8,0.600500526,1.11097422
5.76,0.648374819,1.70096696
5.76,0.700079056,1.28362667
5.76,0.755919631,1.29055024
5.76,0.816227452,1.31007397
5.76,0.881359899,1.40067461
5.76,0.951702942,1.35845558
6.24,1.02767343,1.32266239
6.72,1.10972155,1.31277971
6.72,1.19833353,1.30605979
6.72,1.29403446,1.2865487
6.72,1.39739147,1.24477868
7.68,1.50901704,1.24042238
7.68,1.62957265,1.14213264
7.68,1.75977271,1.06923825
7.68,1.88632718,1.07208883
8.64,2.0370676,0.924766899
8.64,2.19986726,1.01888496
8.64,2.37569089,0.943383133
9.6,2.56558041,0.902184027
9.6,2.7706611,0.862486496
9.6,2.99214823,0.810357027
10.56,3.23135434,0.788192117
10.56,3.48969694,0.745639184
11.04,3.76870695,0.724984676
11.52,4.07003776,0.706782113
11.52,4.3629313,0.670824977
12.48,4.71180005,0.641765346
12.48,5.08857831,0.608825292
12.96,5.49549883,0.579483498
13.44,5.93497298,0.565962841
13.92,6.40960507,0.54016618
14.4,6.92220773,0.518207482
14.88,7.4758186,0.501771107
15.84,8.07371834,0.478658981
15.84,8.71945005,0.458268477
16.8,9.41684031,0.438064897
16.8,10.1700218,0.423138959
17.76,10.9834578,0.406461219
18.72,11.8619687,0.38895814
19.2,12.8107604,0.377919685
19.68,13.8268493,0.362470996
19.68,13.9,0.377699187
19.68,14.0463014,0.397216613
20.16,14.3389042,0.372189767
20.16,14.9241098,0.340059329
21.12,16.0533245,0.273070016
21.12,17.4595572,0.224588549
22.08,19.1693506,0.182272187
22.56,21.27609,0.149743143
23.04,23.8404812,0.124951828
23.52,26.9136655,0.103863826
24.48,30.6108141,0.086842647
24.48,35.0326047,0.072987302
24.96,40.2874954,0.061576582
25.44,46.3306198,0.052323773
25.92,53.2802127,0.043929749
26.4,61.2722446,0.038896699
26.4,70.4630813,0.033790907
26.88,81.0325435,0.029151706
27.36,93.187425,0.025803245
27.36,107.165539,0.022740755
27.84,123.24037,0.020116574
28.32,141.726425,0.018136757
28.32,162.898898,0.016078082
28.8,186.782343,0.014488662
29.28,213.285826,0.013476434
29.76,241.780011,0.012634148
29.76,272.173828,0.011230086
30.24,306.36769,0.010497501
30.72,342.947823,0.010039721
31.2,381.195898,0.009466541
31.2,421.759817,0.008610713
31.68,466.355429,0.008205373
32.16,513.154036,0.008040643
32.16,560.911408,0.007562978
32.64,611.685058,0.00692581
33.12,667.12984,0.006683318
33.6,724.586333,0.006621419
33.6,782.579946,0.006120296
34.08,845.322011,0.005721609
34.56,912.436002,0.005590377
35.04,981.125469,0.00556637
35.04,1050.11118,0.005147345
35.52,1124.71275,0.004824712
36,1204.30298,0.004773252
36.48,1284.75128,0.004777646
36.96,1365.12559,0.00452023
36.96,1450.07702,0.004174834
37.44,1542.05672,0.004090975
37.92,1635.92187,0.004109684
38.4,1729.35972,0.003960305
38.4,1826.32195,0.003628376
38.88,1932.15441,0.003556536
39.36,2040.12464,0.00358521
39.84,2147.23134,0.003576886
39.84,2254.58729,0.003187641
40.32,2375.05254,0.003118298
40.8,2498.19663,0.00315968
41.28,2619.72791,0.003154685
41.28,2741.45163,0.002906558
41.76,2873.56667,0.002820668
42.24,3009.70464,0.002833889
42.72,3145.20746,0.002858963
42.72,3279.52188,0.002638973
43.2,3425.03302,0.002546795
43.68,3575.81074,0.002572972
44.16,3725.05452,0.002656073
44.64,3869.62885,0.002666342
44.64,4013.64641,0.002500726
45.12,4167.2018,0.002394144
45.6,4327.59314,0.002437722
46.08,4485.11724,0.002488907
46.08,4639.40186,0.002353267
46.56,4802.57929,0.002266789
47.04,4971.98191,0.002262627
47.52,5141.69614,0.00238215
48,5302.89506,0.002346442
48,5466.54706,0.002205097
48.48,5640.68909,0.002200563
48.96,5815.18992,0.002250425
49.44,5985.82436,0.002309512
49.44,6152.09322,0.002140828
49.92,6331.46309,0.002084887
50.4,6515.64571,0.002081961
50.88,6700.08718,0.002183073
51.36,6875.98598,0.002166127
51.36,7053.26089,0.002057173
51.84,7239.92484,0.002047413
52.32,7427.47862,0.00212169
52.8,7608.46645,0.002189699
53.28,7783.83302,0.002118069
53.28,7965.13025,0.002002714
53.76,8156.8701,0.002005983
54.24,8348.29748,0.002053461
54.72,8535.29886,0.002093711
