FractureHeight[m],Time[s],Velocity[m/s]
7.6,0.689065933,0
7.6,0.743511959,0.0911533
7.6,0.802313667,0.06855771
7.6,0.865819512,0.12235403
7.6,0.934405825,0.24008195
7.6,1.00847904,0.40048074
7.6,1.08847812,0.56348511
7.6,1.17487712,0.69657927
7.6,1.26818804,0.8717865
7.6,1.36896383,0.97489729
9.12,1.47780169,1.30595233
9.12,1.59534658,1.19937096
9.12,1.72229506,1.19383299
9.12,1.85939941,1.09262751
9.12,2.00747212,1.12943699
9.88,2.16739064,1.0497101
10.64,2.34010264,1.09900762
10.64,2.5266316,1.07816161
10.64,2.72808288,0.98116996
11.4,2.94565027,0.95112502
12.16,3.18062304,0.92185756
12.16,3.43439363,0.88886728
12.16,3.70846588,0.852137
12.92,4.0044639,0.79403976
13.68,4.32414176,0.79975434
13.68,4.66939385,0.7537779
14.44,5.04226611,0.68465147
15.2,5.44496816,0.68780627
15.2,5.87988636,0.65066089
15.96,6.34959802,0.62832141
16.72,6.85688661,0.61137099
16.72,7.40475829,0.57674978
17.48,7.99645971,0.51872023
18.24,8.63549724,0.53779342
19,9.32565777,0.51140243
19,10.0710311,0.48921906
20.52,10.8760344,0.47550027
20.52,11.7454379,0.4522367
21.28,12.6843937,0.43375525
22.04,13.6984659,0.42541574
22.8,14.7936639,0.41202797
23.56,15.9764778,0.39375755
24.32,17.2539168,0.36780755
25.84,18.6335509,0.36654478
25.84,20.1235557,0.35663248
27.36,21.7327609,0.34079909
28.12,23.4707025,0.33300424
28.88,25.2965051,0.32725295
29.64,27.1543951,0.31728124
30.4,29.0706761,0.30543098
31.92,31.0613058,0.29669955
32.68,33.1105169,0.29354185
34.2,35.1817718,0.28767121
34.2,37.2952958,0.27616616
34.96,39.496869,0.27401531
36.48,41.7157231,0.27112939
37.24,43.9581948,0.26976597
37.24,44.2,0.33814514
37.24,44.6836104,0.31512218
37.24,45.6508312,0.2731175
38,47.5852729,0.23339669
38.76,50.1902798,0.19460865
39.52,53.3144986,0.16615885
40.28,56.9736475,0.14262851
40.28,61.23647,0.12619149
41.04,66.0545444,0.10759641
41.8,71.7052905,0.09723632
42.56,77.958098,0.0893198
42.56,84.7650991,0.0772505
43.32,92.6355985,0.07143448
44.08,101.146894,0.06711258
44.08,110.206298,0.06033714
44.84,120.283009,0.05518182
45.6,131.30113,0.05253178
46.36,142.875075,0.05017865
46.36,154.991783,0.04456748
47.12,168.634017,0.04144445
47.88,183.304255,0.03987778
48.64,198.550841,0.03831028
48.64,214.421254,0.03395178
49.4,232.329007,0.03215543
50.16,251.237167,0.03151614
50.92,270.528872,0.0299586
50.92,290.823548,0.02637507
51.68,313.875617,0.02527302
52.44,337.932896,0.02478901
52.44,362.459893,0.02204341
53.2,390.041832,0.02018554
53.96,420.162397,0.01990089
54.72,450.713799,0.01969312
54.72,481.587529,0.0179532
55.48,515.453357,0.01636561
56.24,552.604428,0.01627098
57,589.971562,0.01601934
57,627.925689,0.01412821
57.76,670.960166,0.01329078
58.52,716.70615,0.01338421
59.28,762.132826,0.01336307
59.28,807.631363,0.01196955
60.04,858.426906,0.01118615
60.8,912.779831,0.01135394
61.56,966.329525,0.01147221
62.32,1019.32718,0.01080857
62.32,1075.57882,0.00983265
63.08,1137.41361,0.00981671
63.84,1199.34883,0.00995978
64.6,1260.39434,0.00943346
64.6,1324.8458,0.00880927
65.36,1393.86399,0.008666
66.12,1464.02325,0.00931702
66.88,1529.28017,0.00906984
66.88,1596.31555,0.00829784
67.64,1669.58759,0.00823075
68.4,1743.45691,0.0084855
69.16,1815.10851,0.00879955
69.92,1884.20293,0.00834522
69.92,1957.05903,0.00812595
70.68,2031.88102,0.00797071
71.44,2108.16029,0.00798785
72.2,2184.27586,0.00831398
72.2,2257.40568,0.00772498
72.96,2336.11136,0.00762378
73.72,2415.86181,0.00792702
74.48,2492.56154,0.0083209
75.24,2565.63055,0.00816204
75.24,2640.12171,0.00768591
76,2719.22755,0.00763732
76.76,2798.83667,0.00795624
77.52,2867.61288,0.00838807
77.52,2940.09676,0.00750126
78.28,3021.14981,0.00745551
79.04,3102.70018,0.00749457
79.8,3183.82562,0.00795478
80.56,3260.25767,0.00809166
80.56,3335.39679,0.00765327
81.32,3414.83994,0.00762411
82.08,3494.58696,0.00791737
82.84,3571.38016,0.00796429
83.6,3647.72091,0.00777182
83.6,3725.95231,0.00762456
84.36,3805.69466,0.00762446
85.12,3885.43798,0.0078473
85.88,3962.91682,0.00804348
85.88,4038.50596,0.00763445
86.64,4118.14492,0.00749415
87.4,4199.27485,0.00749502
88.16,4280.39539,0.00812209
88.92,4355.25293,0.00826099
88.92,4428.85185,0.00775189
89.68,4507.28435,0.00770789
90.44,4586.16456,0.00795548
91.2,4662.5899,0.00828409
91.96,4735.98361,0.00810444
91.96,4811.00425,0.00783575
92.72,4888.59729,0.00761756
93.48,4968.41284,0.00781033
94.24,5046.2585,0.00788619
94.24,5123.35529,0.007517
95,5204.23861,0.00726749
95.76,5287.89885,0.00761276
96.52,5367.76474,0.00785047
97.28,5445.21233,0.00787577
97.28,5522.41113,0.00738911
98.04,5604.69433,0.0072718
