FractureHeight[m],Time[s],Velocity[m/s]
4.8,0.081904276,0
4.8,0.088373743,3.11221903
4.8,0.095360768,2.10296026
4.8,0.102906755,1.58274576
4.8,0.111056421,1.23409979
4.8,0.11985806,0.982776222
4.8,0.12936383,0.788264383
4.8,0.139630062,0.6488751
4.8,0.150717592,0.540914855
4.8,0.162692125,0.478107475
4.8,0.175624621,0.450236619
4.8,0.189591716,0.437469019
4.8,0.204676178,0.441303426
4.8,0.220967398,0.476231859
4.8,0.238561915,0.540258657
4.8,0.257563994,0.64445008
4.8,0.278086239,0.791451173
4.8,0.300250263,0.976395587
4.8,0.32418741,1.28075863
4.8,0.350039528,1.80531522
5.76,0.377959815,2.85870309
5.76,0.408113726,2.07897343
5.76,0.44067995,2.10314963
5.76,0.475851471,2.14631317
5.76,0.513836714,2.36481504
5.76,0.554860777,2.29577087
5.76,0.599166764,2.18627058
6.72,0.647017231,2.49436399
6.72,0.698695735,2.16094952
6.72,0.754508519,2.09900707
6.72,0.814786326,2.06943078
7.68,0.879886357,2.05739891
7.68,0.950194391,1.91042467
7.68,1.02612707,1.82035502
7.68,1.10813436,1.79115884
8.64,1.19670223,1.71510758
8.64,1.29235554,1.67804906
8.64,1.3956611,1.56609793
9.6,1.50723112,1.50532479
9.6,1.62772673,1.45931468
9.6,1.757862,1.36651198
10.56,1.89840808,1.32408194
10.56,2.05019786,1.25811285
11.04,2.21413081,1.22984525
11.52,2.3911784,1.19592744
11.52,2.5823898,1.11085937
12.48,2.78889811,1.07318826
12.48,3.01192708,1.02630817
12.96,3.25279837,0.973563054
13.44,3.51293937,0.947137158
13.92,3.79389164,0.914288432
14.4,4.0973201,0.874886453
14.88,4.42502283,0.843972518
15.36,4.77894178,0.7976506
15.84,5.16117425,0.75933961
16.8,5.57398532,0.736756304
17.28,6.01982127,0.706691381
17.76,6.50132409,0.679564632
18.72,7.02134715,0.652622131
18.72,7.58297204,0.629259692
19.68,8.18952693,0.606399775
20.64,8.82277255,0.581909635
21.12,9.48266882,0.56263976
21.6,10.1651659,0.545223077
22.08,10.8694648,0.523470628
23.04,11.6030303,0.50617974
24,12.3616541,0.49509685
24.48,13.1372599,0.481991162
24.96,13.9,0.467938312
25.44,14.720621,0.429898657
26.4,15.6138548,0.38079572
26.4,16.6222695,0.331124215
27.36,17.7819551,0.284176247
27.84,19.1332292,0.244592681
28.32,20.7031862,0.21176431
28.8,22.516523,0.182614829
29.76,24.6193095,0.159733482
29.76,27.0233139,0.140039891
30.24,29.7653897,0.120717212
30.72,34.2301982,0.098402105
31.68,39.3647279,0.080298118
31.68,45.2694371,0.074397297
32.64,52.0598527,0.062665263
33.6,59.8688306,0.056652734
34.56,68.8491552,0.04881445
34.56,79.1765284,0.044271461
35.52,91.0530077,0.038610802
35.52,104.710959,0.035273263
36.48,120.417603,0.030434184
36.48,138.480243,0.028094642
37.44,159.25228,0.024698078
37.44,183.140121,0.02244413
38.4,210.61114,0.020478596
38.4,242.202811,0.018669563
39.36,278.533232,0.016629073
40.32,320.313217,0.015815046
40.32,368.3602,0.014508058
41.28,421.2963,0.01315
42.24,479.699344,0.01268125
43.2,540.261198,0.012171895
43.2,603.35737,0.011321264
44.16,671.19432,0.01063285
45.12,743.423309,0.01028079
46.08,818.125743,0.009948736
46.08,895.321477,0.009068312
47.04,980.011987,0.008824919
48,1067.03828,0.008787709
48.96,1154.43307,0.008629596
48.96,1243.42913,0.008050855
49.92,1338.82272,0.007669955
50.88,1438.95369,0.007617139
51.84,1539.77894,0.007568347
51.84,1641.25421,0.007055117
52.8,1750.11136,0.006802521
53.76,1863.01069,0.006758642
54.72,1976.64299,0.006802385
54.72,2089.54457,0.006391359
55.68,2209.70682,0.006150838
56.64,2334.56786,0.006149477
57.6,2459.45653,0.006198071
57.6,2583.36604,0.005882352
