FractureHeight[m],Time[s],Velocity[m/s]
8,0.87548459,0
8,0.95032044,0.18359385
8,1.03114316,0.29148815
8,1.11843169,0.40017983
8,1.2127033,0.5065896
8,1.31451664,0.63650642
8,1.40358296,0.73389397
8,1.52066667,1.15821673
8,1.64711709,0.90857479
8,1.75773591,0.95513127
12,1.90315186,2.40698635
12,2.06020109,1.17059188
12,2.22981426,1.19529827
12,2.41299648,1.15129583
12,2.61083327,1.09638323
12,2.80313064,1.05432981
12,3.03217817,0.94808369
12,3.2795495,1.04353205
12,3.54671054,0.98540807
12,3.80639108,0.84929184
14,4.11569944,1.52832783
16,4.44975248,0.92853514
16,4.81052975,0.87394491
16,5.20016921,0.90636062
16,5.62097983,0.86925097
16,6.0754553,0.77307791
18,6.5662888,0.70519883
18,7.09638898,0.65157267
18,7.66889718,0.81626028
20,8.28720603,0.71894406
20,8.9549796,0.69635291
22,9.67617504,0.66445125
22,10.45506613,0.62526413
22,11.2962685,0.56868728
22,12.20476705,0.58306597
22,13.08782765,0.54805704
26,14.13965095,0.45881722
26,15.2756201,0.5082231
26,16.50246679,0.52041596
28,17.82746121,0.50811626
28,19.25845519,0.49373112
28,20.80392868,0.47584673
32,22.47304006,0.45795781
32,24.27568034,0.44340564
32,26.22253185,0.45248482
34,28.32513147,0.39615327
34,30.59593907,0.4212703
36,33.04841128,0.39506046
36,35.69708126,0.40461618
38,38.55764484,3.82E-01
40,41.6470535,3.90E-01
42,44.98361486,3.89E-01
44,48.58710113,3.86E-01
44,52.4788663,3.88E-01
46,56.60144319,0.3631897
48,61.00685445,0.36058728
50,65.44406034,0.36986544
52,69.7699579,0.37487717
52,74.0380226,0.35934672
54,78.49054694,0.36168729
56,82.91425777,0.36418354
58,87.30764692,0.37436517
58,91.5815488,0.37639528
60,95.83239911,0.34833333
62,100.4257007,0.36141973
64,104.8526864,0.36790723
66,109.2016089,0.3797296
66,113.4151334,0.38095698
68,117.6150827,0.35736882
70,122.09225,0.36350764
72,126.4938081,0.36997597
74,130.8184133,0.37375565
74,135.099285,0.35866214
76,139,0.36520268
78,143.3811289,0.37017195
80,147.7034445,0.37629426
80,151.955436,0.3711508
82,156.2663523,0.34490706
84,160.9052831,0.34085417
86,165.5993727,0.33708629
86,170.3459318,0.33013421
88,175.1924456,0.30831049
90,180.3820192,0.30238809
92,185.673233,0.30103999
92,190.9881414,0.29490527
94,196.4136126,0.27371157
96,202.2591821,0.27027677
98,208.1790397,0.27035084
98,214.0972754,0.26683421
100,220.093508,0.24404689
102,226.6496251,0.24519636
104,233.1750074,0.24593523
106,239.6807854,0.24338443
106,246.2547475,0.22713495
108,253.299018,0.22372406
110,260.4506852,0.22406502
112,267.5914696,0.22733141
112,274.6296522,0.22437304
114,281.7606338,0.20693323
116,289.4925964,0.2074734
118,297.2044284,0.21102864
118,304.7863375,0.21053189
120,312.3861361,0.19625528
122,320.5387829,0.1945418
124,328.7632364,0.19768159
126,336.8570605,0.19725414
126,344.9684237,0.184046
128,353.6619027,0.18193289
130,362.4563545,0.18435076
132,371.1354615,0.18874327
