FractureHeight[m],Time[s],Velocity[m/s]
7.6,0.318157694,0
7.6,0.343296684,1.25809483
7.6,0.370446794,0.83223343
7.6,0.399768913,0.61013968
7.6,0.431436801,0.45984638
7.6,0.465638121,0.3513738
7.6,0.502575546,0.27507213
7.6,0.542467965,0.23723296
7.6,0.585551777,0.22055664
7.6,0.632082295,0.21353809
7.6,0.682335254,0.21710016
7.6,0.736608449,0.23672958
7.6,0.7952235,0.27274825
7.6,0.858527756,0.32917959
7.6,0.926896351,0.40544545
7.6,1.00073443,0.48930348
7.6,1.08047956,0.66623078
7.6,1.16660431,0.89558209
9.12,1.25961903,1.36599825
9.12,1.36007492,1.03793012
9.12,1.46856729,1.04031081
9.12,1.58573905,1.05733691
9.12,1.71228455,1.13400585
9.12,1.84895369,1.10172976
9.88,1.99655636,1.07326065
10.64,2.15596724,1.06669412
10.64,2.328131,1.0618706
10.64,2.51406785,1.04659039
10.64,2.71487966,1.01306927
12.16,2.9317564,1.00994284
12.16,3.16598329,0.92993254
12.16,3.41894833,0.87085846
12.16,3.69215057,0.86702699
13.68,3.98720899,0.74772073
13.68,4.30587209,0.82150791
13.68,4.65002823,0.76130954
15.2,5.02171686,0.72716026
15.2,5.42314059,0.69528364
15.2,5.85667821,0.65681481
16.72,6.32489884,0.5877462
16.72,6.83057713,0.61567365
17.48,7.37670967,0.5965574
18.24,7.96653282,0.58029807
19,8.60354182,0.54465884
19.76,9.29151154,0.52122324
19.76,10.0345188,0.49474094
21.28,10.8369667,0.47795403
21.28,11.7036104,0.45628469
22.04,12.6395856,0.43512036
22.8,13.6504389,0.4157585
23.56,14.7421604,0.39948624
25.08,15.9212196,0.38684287
25.08,17.1946035,0.37432137
26.6,18.5698582,0.35751743
28.12,20.0551332,0.34206955
28.12,21.6592302,0.3285677
29.64,23.391655,0.31635131
30.4,25.2626738,0.30571429
31.16,27.2514588,0.2921749
32.68,29.3324041,0.28221091
33.44,31.4868212,0.27240374
34.96,33.7188023,0.26537542
34.96,36.0098962,0.25756151
36.48,38.3704973,0.2473644
38,40.8284096,0.24177487
38.76,43.3431457,0.23604358
38.76,44.2,0.24640707
40.28,45.9137086,0.22583163
40.28,48.6059798,0.19758146
41.8,51.6831916,0.17063446
42.56,55.246364,0.1478504
43.32,59.3586289,0.12737005
44.08,64.1321217,0.11381112
44.84,69.4743062,0.0949079
45.6,75.8805168,0.08179817
46.36,83.3134458,0.07142634
47.12,91.8257115,0.06291432
47.88,101.489648,0.05518873
48.64,112.506389,0.04839352
49.4,125.070054,0.0432476
49.4,139.128637,0.03861888
51.68,159.997932,0.0322029
51.68,183.997622,0.0288999
53.2,211.597266,0.02447902
53.2,243.336855,0.02205926
53.2,279.837384,0.01975888
54.72,321.812991,0.01681849
54.72,370.08494,0.01580044
56.24,425.597681,0.01414226
56.24,489.437333,0.01311741
57.76,562.852933,0.01168192
59.28,647.280873,0.01115542
59.28,744.373004,0.00980338
60.8,856.028955,0.00931943
62.32,984.433298,0.00886553
62.32,1121.59375,0.00811464
63.84,1271.44637,0.00746284
65.36,1434.38707,0.00718616
66.88,1603.60114,0.00689178
66.88,1780.04331,0.00599083
68.4,1983.02028,0.00590254
69.92,2189.03318,0.00586871
71.44,2396.23379,0.00567548
71.44,2610.48891,0.00494021
72.96,2856.63239,0.00479887
74.48,3110.02543,0.00488096
76,3359.15663,0.00478748
76,3613.15253,0.00424968
77.52,3899.29165,0.00416715
79.04,4191.09747,0.00427918
80.56,4475.26425,0.0042711
80.56,4759.96826,0.00398837
82.08,5064.85489,0.00381962
83.6,5383.21133,0.00385125
85.12,5698.95312,0.00387943
85.12,6012.40112,0.00363236
86.64,6347.16959,0.00348534
88.16,6696.05968,0.00351765
89.68,7041.74497,0.0035554
89.68,7383.75978,0.00330854
91.2,7751.29306,0.00309303
92.72,8144.43482,0.00318583
94.24,8526.12518,0.00326465
95.76,8898.59972,0.00331128
95.76,9265.82982,0.00317865
97.28,9648.38177,0.00300402
98.8,10053.1723,0.00308166
100.32,10447.7645,0.00319142
100.32,10790.6841,0.00305461
101.84,11188.771,0.0028238
103.36,11619.3958,0.0029173
104.88,12036.2203,0.0030251
106.4,12438.1909,0.00288997
106.4,12858.9558,0.00276991
107.92,13297.9593,0.00277448
109.44,13736.2391,0.00284566
110.96,14163.5563,0.00287483
110.96,14586.538,0.00277276
112.48,15025.0899,0.00260492
114,15491.8991,0.00269468
115.52,15943.1585,0.00282138
117.04,16374.1538,0.00272161
117.04,16820.9485,0.0025769
118.56,17292.8338,0.00258958
120.08,17762.4085,0.00266088
121.6,18219.3996,0.00269426
121.6,18670.7292,0.00259548
123.12,19139.2358,0.00243579
124.64,19638.4574,0.00251239
126.16,20122.4581,0.00260477
127.68,20589.2931,0.00249062
127.68,21077.5254,0.00230122
129.2,21605.9408,0.00234768
130.72,22123.8979,0.00242881
132.24,22624.5539,0.00248477
132.24,23113.9355,0.00239077
133.76,23622.5593,0.00223448
135.28,24166.7564,0.00231661
136.8,24691.6614,0.00238598
138.32,25201.306,0.00226725
138.32,25737.6388,0.0021097
139.84,26314.0234,0.002126
141.36,26885.9886,0.00222283
142.88,27433.0401,0.00228012
142.88,27966.3456,0.00221836
144.4,28514.4985,0.00202743
145.92,29114.272,0.00205849
147.44,29704.9967,0.00220392
148.96,30256.7401,0.00214278
148.96,30824.2265,0.00194962
150.48,31447.9388,0.00199871
152,32056.3314,0.00207575
153.52,32642.1442,0.00213298
153.52,33212.2375,0.00206313
155.04,33801.6332,0.00193573
156.56,34429.8196,0.00193087
158.08,35059.589,0.00210573
159.6,35637.0619,0.00202289
159.6,36238.1833,0.00185244
161.12,36894.6152,0.00188275
162.64,37540.4775,0.00194973
164.16,38164.1542,0.00197863
164.16,38778.7216,0.00191006
165.68,39415.3522,0.00179147
167.2,40094.1249,0.0018268
168.72,40759.7687,0.00194057
170.24,41386.3903,0.00186504
170.24,42038.3887,0.00172102
171.76,42744.9459,0.00171184
173.28,43455.2923,0.0017876
174.8,44135.5348,0.00182791
174.8,44800.7767,0.00175938
176.32,45491.9309,0.00166144
177.84,46223.8267,0.00165731
179.36,46957.5465,0.00181219
180.88,47628.5567,0.00173282
180.88,48330.3043,0.00157781
182.4,49100.9934,0.00157745
183.92,49871.8557,0.00166595
185.44,50601.7699,0.0016741
185.44,51328.1286,0.00161929
186.96,52079.0772,0.00152427
188.48,52876.8387,0.00155291
190,53659.8853,0.00164021
191.52,54401.2517,0.00156359
191.52,55178.951,0.00142024
193.04,56035.1422,0.00142558
194.56,56888.1284,0.00150587
196.08,57695.634,0.00153213
196.08,58489.2983,0.00148319
197.6,59309.1506,0.00138692
199.12,60185.9138,0.00143239
200.64,61034.847,0.00149995
202.16,61845.5388,0.00142923
0,0,0
