FractureHeight[m],Time[s],Velocity[m/s]
4.0892,0.36494,3.0069
5.285,0.74049,1.6147
6.6126,0.94507,1.4049
7.8406,1.2062,1.018
9.4455,1.5394,1.0426
10.664,1.9647,0.62038
12.604,2.5075,0.77346
14.701,3.2004,0.65517
17.046,4.0845,0.57417
19.572,6.4171,0.39371
22.408,12.073,0.23491
25.423,20.597,0.14638
28.842,31.952,0.10699
32.515,42.927,0.085572
36.613,54.077,0.075783
41.017,76.092,0.057868
45.939,89.446,0.055026
51.28,119.87,0.044563
57.335,130.49,0.046402
63.718,129.91,0.049133
70.978,157.9,0.045976
79.017,191.93,0.041886
87.714,233.3,0.037278
97.441,207.41,0.046898
108.05,240.11,0.044196
119.93,277.95,0.04272
134.71,321.76,0.045941
150.36,372.48,0.042013
178.53,964.56,0.029202
